raison_sociale,gouvernorat,delegation,secteur_nat,responsable,telephone,email,effectif_total,export
STE METLINE RAS JEBEL TEXTILE,Bizerte,Ras el jebel,Industries textiles et habillement,FATHI MOUSSA,(216-)  98 440 833/ 72 406 533,meratex.fm@gmail.com,83,TOTALEMENT EXPORTATRICE
STE MODERNE D'ELEVAGE,Bizerte,Utique,Industries agricoles et alimentaires,HATEM BACCAR,(216-)  72 402 600,sme@planet.tn,54,NON TOTALEMENT EXPORTATRICE
AKWEL MATEUR TUNISIA,Bizerte,Mateur,Fabrication de matériel de transport,YASSINE TAGHOUTI,(216-)  70 017 080,yassinetaghouti@akwel-automotive.com,973,TOTALEMENT EXPORTATRICE
STE BEN AISSA FRERES,Bizerte,El alia,Industries agricoles et alimentaires,ALI BEN AISSA,(216-)  72 442 211,benaissa_freres@yahoo.fr,21,NON TOTALEMENT EXPORTATRICE
ALMES II,Bizerte,Mateur,Industries agricoles et alimentaires,MOHAMED BECHIR EL KHIARI,(216-)  71 454 545/ 98 575 423,almes.mateur@poulina.com.tn,160,NON TOTALEMENT EXPORTATRICE
STE TRAD DES PRODUITS DE LA MER,Bizerte,Zarzouna,Industries agricoles et alimentaires,MOHAMED EL ABED TRAD,(216-)  71 736 258/ 72 590 300,stpm.matrad@planet.tn,118,TOTALEMENT EXPORTATRICE
UTIQA FRUIT,Bizerte,Utique,Industries agricoles et alimentaires,ALI EL ABED,(216-)  72 494 064/ 53 220 665,info@utiquefruit.com.tn,86,TOTALEMENT EXPORTATRICE
TUNISIE CABLES (MENZEL JEMIL),Bizerte,Menzel jemil,Fabrication d'equipements électriques et électroniques,MONCEF SELLAMI,(216-)  70 102 400/ 39 140 330,moez.lahbib@onetech_group.com,255,NON TOTALEMENT EXPORTATRICE
HUILERIE MODERNE DU NORD,Bizerte,Mateur,Industries agricoles et alimentaires,MONCEF HAMMAMI,(216-)  98 441 854/ 72 485 280,drmoncefhammami@gmail.com,10,NON TOTALEMENT EXPORTATRICE
MARBRERIE NEW MODE,Bizerte,Utique,Autres industries extractives,ANIS HELAL,(216-)  72 494 240,,21,NON TOTALEMENT EXPORTATRICE
TUNIMA SARL CHAUSSURES,Bizerte,El alia,Industries du cuir et de la chaussure,RENATO MAZZOCCONI,(216-)  72 584 477,tunimac@gnet.tn,629,TOTALEMENT EXPORTATRICE
STE ELEVAGE ET PRODUCTION AGRICOLE,Nabeul,Soliman,Industries agricoles et alimentaires,HATEM CHAABOUNI,(216-)  24 958 660/ 29 958 015,tarek.toumi@groupe-alfa.tn,220,NON TOTALEMENT EXPORTATRICE
HUILERIE ALI SFAXI,Bizerte,Bizerte nord,Industries agricoles et alimentaires,ALI SFAXI,(216-)  72 426 101/ 29 271 249,,12,NON TOTALEMENT EXPORTATRICE
